Andaman and Nicobar Islands,119,53,66,0,380581
Andhra Pradesh,17699,9473,8008,218,49577103
Arunachal Pradesh,259,182,76,1,1383727
Assam,10668,3997,6657,14,31205576
Bihar,11700,2925,8686,89,104099452
Chandigarh,460,59,395,6,1055450
Chhattisgarh,3161,598,2549,14,25545198
Dadra and Nagar Haveli and Daman and Diu,271,175,96,0,585764
Delhi,97200,25940,68256,3004,16787941
Goa,1684,853,825,6,1458545
Gujarat,35312,7981,25406,1925,60439692
Haryana,16548,4031,12257,260,25351462
Himachal Pradesh,1046,331,704,11,6864602
Jammu and Kashmir,8246,2976,5143,127,12267032
Jharkhand,2739,687,2035,17,32988134
Karnataka,21549,11970,9244,335,61095297
Kerala,5204,2131,3048,25,33406061
Ladakh,1005,178,826,1,274000
Lakshadweep,0,0,0,0,64473
Madhya Pradesh,14604,2772,11234,598,72626809
Maharashtra,200064,83311,108082,8671,112374333
Manipur,1325,658,667,0,2570390
Meghalaya,62,18,43,1,2966889
Mizoram,164,34,130,0,1097206
Nagaland,563,335,228,0,1978502
Odisha,8601,2633,5934,34,41974218
Puducherry,802,459,331,12,1247953
Punjab,6109,1641,4306,162,27743338
Rajasthan,19532,3445,15640,447,68548437
Sikkim,103,45,58,0,610577
Tamil Nadu,107001,44959,60592,1450,72147030
Telengana,22312,10487,11537,288,35003674
Tripura,1546,343,1202,1,3673917
Uttar Pradesh,26554,7627,18154,773,199812341
Uttarakhand,3093,549,2502,42,10086292
West Bengal,21231,6329,14166,736,91276115
